directive,n
tau1,1
disease,1
tau,1
weight,14
p2coldent,4
pstd,60
tau2,1
xb_weight,1
mpg,6
phang3,29
eq,1
param2,1
p2col,5
mu,1
lambda=30,1
Cov,1
p_end,245
cmd,727
depvar,1
indepvars,4
length,6
cp,4
bf,20
Sigma3,2
viewerjumpto,7
mansection,20
syntab,13
change,5
y,7
varname,1
lambda,2
title,12
it,337
param1,2
mu2,3
Sigma,14
synopt,157
mu1,3
vieweralsosee,8
*,1
viewerdialog,1
y2,2
xb_price,1
rep77,2
b1=1.267,1
c,156
manhelp,3
ifin,7
gamma=3,1
help,93
hline,6
marker,33
opt,150
p2colset,1
opth,12
Sigma4,1
xb_mpg,1
smcl,1
synoptline,12
synopthdr,6
...,66
y1,2
p,38
dlgtab,6
phang,45
n_p,2
synoptset,11
pmore3,1
p2colreset,7
eqname,9
sig2,5
manlink,1
eq_var,2
phang2,53
df,2
cmdab,1
pmore,8
